word,specfiles,rpms,as prefix,as suffix,meaning
info,23,30,0,20,file-type
generator,23,38,0,19,
xfce,23,35,2,31,environment
httpd,23,30,5,17,
Zilla,23,23,0,1,
Template,23,23,0,7,
xstatic,23,23,23,0,
daemon,22,59,0,23,file-purpose
osgi,22,36,6,12,
modules,22,33,0,27,extends/enhances
admin,22,27,0,16,
debug,22,60,0,44,build-variant
map,22,27,0,16,concept
nuvola,22,22,22,0,
Locale,22,23,0,2,
Term,22,23,0,0,
Time,22,22,0,2,
c++,21,65,5,18,programming language
ssh,21,31,2,13,protocol
ru,21,33,0,22,translation
cs,21,25,0,22,translation
build,21,32,0,11,
fuse,21,27,13,11,
remote,21,25,0,11,
coin-or,21,61,61,0,project name
security,21,34,1,12,
text,21,31,0,9,data format
gl,21,25,2,18,framework
pidgin,21,25,21,2,
support,21,26,0,19,
jackson,21,51,47,1,project name
Object,21,21,0,7,
Lite,21,22,0,15,
zope,21,44,0,0,
felix,21,40,40,0,project name
glite,21,39,39,0,project name
JSON,21,29,0,8,
nette,21,21,0,1,
gstreamer,20,46,23,10,
ng,20,44,0,19,
pgsql,20,24,0,23,framework
time,20,29,2,11,
dns,20,41,0,9,
db,20,39,0,15,
io,20,33,0,15,
array,20,21,0,7,
os,20,35,9,1,
i18n,20,70,0,21,translation
ui,20,44,0,16,
jquery,20,27,0,4,
auth,20,29,0,12,
Session,20,22,0,6,
object,20,21,0,8,
sblim,20,41,41,0,project name
vdr,20,29,28,0,
commons,20,46,0,11,
case,20,22,0,17,
rails,20,40,0,14,
firmware,19,40,2,34,file-type
regex,19,29,0,10,
compiler,19,28,1,17,
framework,19,31,0,15,
sdk,19,27,0,16,
fcitx,19,31,27,2,
builder,19,29,0,19,
Authen,19,19,0,1,
Critic,19,20,0,3,
ant,19,46,27,11,
pom,19,20,0,20,
oslo,19,97,0,0,project name
fog,19,38,0,1,
demos,18,18,0,17,
module,18,86,2,19,extends/enhances
code,18,22,1,4,
serif,18,43,0,0,font-type
all,18,18,0,15,
ca,18,21,1,17,
pt,18,25,0,14,
rpm,18,44,17,9,
themes,18,23,0,19,
apache,18,39,25,7,
x11,18,19,1,16,protocol
unicode,18,31,3,6,
pkg,18,30,0,5,
terminal,18,26,0,14,
libvirt,18,85,59,12,project name
lxqt,18,34,34,0,environment
connector,18,28,0,5,
Tk,18,19,0,2,
Path,18,18,0,5,
music,17,19,0,15,
odbc,17,20,0,18,
en,17,37,0,19,translation
pl,17,32,7,18,translation
sql,17,41,0,16,
progs,17,18,0,17,
m2e,17,20,0,0,
types,17,31,0,17,
user,17,19,0,6,
ansi,17,22,0,7,
testing,17,27,0,15,
Digest,17,17,0,2,
Util,17,19,0,15,
Sub,17,17,0,2,
html,17,24,0,14,data format
pdf,17,28,4,9,
geronimo,17,35,35,0,project name
Gtk2,17,20,0,1,
MooX,17,17,0,1,
snmp,16,24,0,15,
samples,16,20,0,16,
ja,16,27,0,18,translation
arm,16,23,6,4,
media,16,19,1,12,
systemd,16,30,8,12,
integration,16,20,0,11,
editor,16,19,0,17,
annotations,16,27,0,15,
mime,16,20,0,7,
node,16,18,1,7,
check,16,31,9,10,
logging,16,23,0,9,
Encode,16,17,0,4,
Socket,16,16,0,3,
doctrine,16,18,0,1,
Cache,16,21,0,8,
phpseclib,16,16,0,2,
servlet,16,22,0,10,
async,16,20,3,8,
Convert,16,16,0,1,
Parse,16,16,0,2,
channel,16,16,0,1,
markdown,15,20,0,13,
monitor,15,18,1,12,
akonadi,15,24,4,6,
calendar,15,19,0,10,
nl,15,17,0,17,
redis,15,26,5,16,
setup,15,22,0,9,
cpp,15,40,0,14,programming language
crypto,15,25,2,7,
event,15,23,0,8,
gettext,15,31,5,10,
rest,15,29,1,9,
logger,15,34,0,14,
pam,15,18,3,9,
mock,15,21,3,9,
parse,15,22,0,11,
oauth,15,24,1,13,
th,15,29,0,12,
runner,15,23,0,15,
googlecode,15,39,0,0,
gstreamer1,15,36,24,5,
ladspa,15,16,15,0,
nagios,15,82,74,3,project name
image,15,27,0,9,
Algorithm,15,15,0,0,
EN,15,15,0,1,
error,15,29,0,12,
plug,15,16,0,3,
bom,15,16,0,12,
spring,15,18,2,9,
websocket,15,29,0,6,
telepathy,15,25,23,2,
Role,15,15,0,1,
Find,15,15,0,5,
MIME,15,16,0,1,
Hash,15,15,0,0,
Tie,15,15,0,1,
springframework,15,50,49,0,project name
vala,14,20,6,12,
native,14,21,3,10,
sv,14,25,0,16,
gdb,14,19,5,9,
container,14,32,2,8,
gobject,14,29,2,14,
applet,14,16,0,7,
control,14,25,2,9,
jmx,14,16,0,13,
tool,14,16,0,13,
project,14,20,0,13,
gram,14,29,0,1,
shared,14,20,2,5,
resolver,14,49,0,12,
service,14,23,0,11,
B,14,15,0,1,
Any,14,15,0,8,
Sys,14,14,0,0,
Unicode,14,14,0,1,
validator,14,23,2,12,
filter,14,19,0,14,
package,14,15,0,1,
lang,14,17,0,14,
resources,14,24,0,12,
script,14,28,0,14,
crypt,14,14,0,2,
Diff,14,15,0,11,
react,14,15,0,3,
Apache,14,15,0,2,
tw2,14,17,0,0,
NetworkManager,13,37,35,0,project name
adobe,13,15,15,0,
dot,13,16,0,0,
scripts,13,15,0,13,
lb,13,22,0,4,
locale,13,17,0,9,
certbot,13,33,0,2,
session,13,20,0,12,
bin,13,189,0,185,file-type
single,13,19,0,17,
minimal,13,15,2,12,
network,13,20,1,9,
fs,13,15,0,6,
aws,13,23,4,4,
string,13,16,0,7,
apps,13,14,0,10,
color,13,16,1,6,
css,13,15,0,4,
account,13,14,0,3,
basic,13,17,0,6,
impl,13,36,0,18,
mongodb,13,21,2,12,
gothic,13,15,0,1,
npm,13,13,0,1,
open,13,17,7,4,
Compress,13,16,0,3,
Filter,13,13,0,4,
List,13,13,0,3,
sebastian,13,13,0,0,
xmlrpc,13,24,12,9,
scim,13,31,29,1,
sphinxcontrib,13,27,0,0,
table,13,37,0,9,
switchboard,13,15,14,0,
protocol,13,26,0,17,
xemacs,13,24,16,6,
hibernate,13,37,32,2,
jetty,13,76,75,0,project name
lohit,13,13,13,0,
URI,13,13,0,4,
Random,13,13,0,5,
LWP,13,13,0,2,
Image,13,13,0,1,
Kwiki,13,13,0,1,
Regexp,13,13,0,3,
latex,12,53,1,18,data format
curl,12,18,1,11,
shell,12,14,0,12,
alsa,12,27,18,6,
jack,12,15,6,8,
openssl,12,25,5,6,
clients,12,12,0,10,
caja,12,26,17,7,
bg,12,14,0,13,
hu,12,14,0,14,
sl,12,14,0,13,
bridge,12,32,4,24,file-purpose
cairo,12,43,22,9,
cinnamon,12,19,17,1,
settings,12,19,0,9,
annotation,12,20,2,7,
cloud,12,15,3,5,
rpm-macros,12,16,0,15,file-type
ws,12,20,9,6,
copr,12,22,14,7,
gsi,12,34,3,3,
vagrant,12,22,19,2,
kernel,12,25,15,7,
mail,12,41,1,10,
fedmsg,12,17,3,5,
zip,12,17,0,8,
encoding,12,14,0,4,
process,12,14,0,8,
headers,12,15,0,13,
nss,12,25,14,7,
indicator,12,12,0,3,
cznic,12,25,0,0,
glob,12,15,0,6,
man-pages,12,14,11,0,project name
legacy,12,12,0,9,
spice,12,24,15,1,
url,12,14,0,8,
openid,12,18,1,9,
bootstrap,12,16,0,6,
rack,12,22,0,3,
read,12,12,0,2,
Utils,12,12,0,9,
Exporter,12,12,0,3,
Getopt,12,12,0,3,
IPC,12,12,0,0,
Proc,12,12,0,0,
Task,12,12,0,0,
sil,12,17,17,0,
atomic,11,25,3,7,
master,11,11,0,10,
da,11,13,0,13,
sk,11,13,0,13,
sr,11,15,0,12,
bash,11,14,4,4,
license,11,12,0,9,
pkcs11,11,18,3,5,
date,11,16,0,6,
math,11,27,0,11,
options,11,14,1,7,
local,11,16,0,10,
help,11,76,0,8,file-purpose
gdouros,11,12,12,0,
index,11,12,0,6,
haskell,11,22,1,2,
src,11,17,0,8,
uri,11,15,0,5,
pa,11,11,0,9,
tk,11,18,1,14,
uk,11,12,0,12,
job,11,24,0,0,
search,11,13,0,8,
player,11,16,5,8,
srpm-macros,11,11,0,11,file-type
connect,11,12,1,6,
ktp,11,12,12,0,
light,11,15,2,6,
spi,11,20,0,15,
metadata,11,16,2,8,
Git,11,13,0,5,
SQL,11,12,0,0,
Tree,11,11,0,5,
PHP,11,11,0,0,
jms,11,21,0,4,
language,11,21,2,6,
mvc,11,12,0,3,
purple,11,13,13,0,
viewer,11,13,0,13,
sqlite3,11,15,1,10,
dssi,11,14,6,7,
uuid,11,24,6,6,
cmpi,11,22,1,0,
libopensync,11,12,11,0,
Base,11,11,0,9,
Meta,11,11,0,3,
Number,11,11,0,1,
Package,11,11,0,1,
repoze,11,17,0,0,
id,10,11,0,11,
pulseaudio,10,23,14,7,
ko,10,13,0,12,
lite,10,17,0,8,
graph,10,18,0,10,
random,10,14,0,8,
resource,10,13,1,3,
menus,10,16,0,10,
email,10,12,0,5,
generic,10,19,10,4,
openstack,10,33,19,1,
yum,10,41,38,1,project name
completion,10,12,0,12,
loader,10,12,0,8,
pretty,10,15,0,3,
free,10,30,0,9,
semver,10,15,0,6,
tar,10,20,0,5,
he,10,12,0,10,
hi,10,11,0,11,
ms,10,11,0,9,
icons,10,10,0,10,
sync,10,11,0,5,
templates,10,13,0,9,
style,10,12,0,1,
olpc,10,11,8,2,
browser,10,10,0,4,
sound,10,49,3,4,
pantheon,10,15,12,1,
Model,10,11,0,1,
DBD,10,10,0,0,
IP,10,10,0,7,
PerlIO,10,10,0,0,
YAML,10,10,0,5,
qpid,10,76,59,3,project name
dependency,10,15,0,1,
form,10,19,0,12,
